# C-11 standard atmosphere (Data loaded from a file)
# 285 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.676,97.095,609.095,-8.811,8.833,-7.724,8.065,0.063,-0.105,0.123,149.02632,0.625,2.322,33.98,117.38,146.73449,-0.00248,135.44722,-0.00037,52.65482,328.76318,154,23,0.004,0.00008,9.795,51.9,34.3,3.857,0,0,-0.037,0.492,0.344,0.027,0.12,-0.501,6.487,2.587,0.00026,0,0,0,0,6.915,0,0,11.041,942.4,0.00116,337.99,0.026,342000,4.6,20,0.022,0.478,0
5.698,96.898,608.898,-8.979,9.004,-7.423,7.814,0.071,-0.117,0.137,148.96903,0.677,2.44,33.98,117.38,143.98429,-0.00248,137.73905,-0.00025,49.67544,328.76318,154,23,0.004,0.00008,9.795,51.5,34.3,3.78,0,0,-0.035,0.49,0.343,0.027,0.12,-0.459,6.833,1.85,0.00015,0,0,0,0,6.879,0,0,11.042,942.4,0.00116,337.99,0.027,348600,4.6,20,0.022,0.479,0
5.72,96.701,608.701,-9.137,9.166,-7.095,7.538,0.079,-0.131,0.152,148.96903,0.732,2.547,33.98,117.38,141.2341,-0.00248,139.28604,-0.00008,46.63876,328.76318,154,23,0.004,0.00008,9.795,51.2,34.3,3.7,0,0,-0.033,0.489,0.341,0.027,0.12,-0.416,7.196,1.169,-0.00044,0,0,0,0,6.791,0,0,11.043,942.5,0.00116,337.991,0.027,354900,4.6,20,0.022,0.48,0
5.742,96.502,608.502,-9.286,9.319,-6.74,7.238,0.087,-0.145,0.169,148.96903,0.788,2.637,33.98,117.38,138.4839,-0.00248,140.20277,-0.00012,43.60209,328.76318,154,23,0.004,0.00008,9.795,50.8,34.3,3.617,0,0,-0.031,0.487,0.34,0.027,0.12,-0.373,7.573,0.539,-0.00044,0,0,0,0,6.655,0,0,11.045,942.5,0.00116,337.992,0.028,360900,4.6,20,0.021,0.48,0
5.763,96.302,608.302,-9.426,9.464,-6.36,6.912,0.096,-0.159,0.186,148.91173,0.845,2.707,33.98,117.38,135.7337,-0.00248,140.48925,0.00003,40.62271,328.76318,154,23,0.004,0.00008,9.795,50.4,34.3,3.533,0,0,-0.028,0.486,0.339,0.027,0.12,-0.33,7.96,-0.041,0.00018,0,0,0,0,6.478,0,0,11.046,942.5,0.00116,337.993,0.028,366500,4.6,20,0.021,0.481,0
5.785,96.099,608.099,-9.558,9.6,-5.957,6.562,0.106,-0.175,0.205,148.91173,0.903,2.752,33.98,117.38,133.0408,-0.00248,140.14548,0.00018,37.64333,328.76318,154,23,0.004,0.00008,9.795,50,34.3,3.448,0,0,-0.025,0.485,0.338,0.027,0.12,-0.288,8.355,-0.573,-0.00006,0,0,0,0,6.264,0,0,11.047,942.5,0.00116,337.994,0.028,371700,4.6,20,0.021,0.482,0
5.806,95.893,607.893,-9.681,9.728,-5.534,6.188,0.116,-0.193,0.225,148.91173,0.962,2.768,33.98,117.38,130.2906,-0.00248,139.17145,0.00029,34.60665,328.76318,154,23,0.004,0.00008,9.795,49.6,34.3,3.362,0,0,-0.022,0.484,0.337,0.027,0.12,-0.248,8.754,-1.057,0.00026,0,0,0,0,6.017,0,0,11.049,942.6,0.00116,337.994,0.029,376700,4.6,20,0.004,0.482,0
# Event EJECTION_CHARGE occurred at t=5.81 seconds
5.81,95.854,607.854,-9.703,9.751,-5.453,6.115,0.118,-0.196,0.229,148.91173,0.974,2.767,33.98,117.38,129.77494,-0.00248,138.94227,0.00026,34.09099,328.76318,154,23,0.004,0.00008,9.795,49.6,34.3,3.346,0,0,-0.022,0.484,0.337,0.027,0.12,-0.241,8.83,-1.143,0.00043,0,0,0,0,5.967,0,0,11.049,942.6,0.00116,337.995,0.029,377600,4.6,20,0.003,0.483,0
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=5.811 seconds
5.813,95.83,607.83,-9.716,9.766,36.942,37.241,0.119,-0.198,0.231,148.91173,0.98,4.716,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,7.236,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.049,942.6,0.00116,337.995,0.029,378200,4.6,20,0.027,0.484,0
5.839,95.582,607.582,-8.724,8.766,27.876,28.118,0.132,-0.219,0.256,148.91173,0.854,3.687,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,5.83,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.051,942.6,0.00116,337.996,0.026,339500,4.6,20,0.036,0.484,0
5.875,95.29,607.29,-7.733,7.767,19.789,19.982,0.147,-0.243,0.284,148.91173,0.723,2.765,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,4.577,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.053,942.6,0.00116,337.997,0.023,300800,4.6,20,0.05,0.484,0
5.925,94.927,606.927,-6.743,6.768,12.684,12.833,0.164,-0.271,0.317,148.85444,0.584,1.948,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,3.476,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.055,942.7,0.00116,337.998,0.02,262100,4.6,20,0.078,0.485,0
6.003,94.44,606.44,-5.754,5.77,6.562,6.677,0.184,-0.305,0.356,148.85444,0.433,1.23,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,2.527,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.058,942.7,0.00116,338,0.017,223500,4.6,20,0.15,0.485,0
6.153,93.652,605.652,-4.771,4.778,1.436,1.55,0.211,-0.348,0.407,148.85444,0.248,0.585,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.732,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.063,942.8,0.00116,338.003,0.014,185000,4.6,20,0.213,0.485,0
6.365,92.67,604.67,-4.466,4.468,0.035,0.275,0.231,-0.382,0.447,148.85444,0.124,0.273,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.515,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.07,942.9,0.00116,338.007,0.013,173000,4.6,20,0.227,0.485,0
6.593,91.656,603.656,-4.458,4.458,-0.002,0.136,0.242,-0.4,0.468,148.85444,0.062,0.136,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.076,943,0.00116,338.011,0.013,172700,4.6,20,0.228,0.485,0
6.82,90.641,602.641,-4.458,4.458,0.00024,0.068,0.248,-0.409,0.478,148.85444,0.031,0.068,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.083,943.1,0.00116,338.015,0.013,172700,4.6,20,0.228,0.485,0
7.048,89.626,601.626,-4.458,4.458,0.00077,0.034,0.25,-0.414,0.484,148.85444,0.015,0.034,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.089,943.3,0.00116,338.019,0.013,172700,4.6,20,0.228,0.486,0
7.275,88.612,600.612,-4.458,4.458,0.0009,0.017,0.252,-0.416,0.486,148.85444,0.008,0.017,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.096,943.4,0.00116,338.023,0.013,172700,4.6,20,0.228,0.486,0
7.503,87.598,599.598,-4.458,4.458,0.00094,0.009,0.252,-0.417,0.488,148.85444,0.004,0.009,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.103,943.5,0.00116,338.027,0.013,172700,4.6,20,0.228,0.486,0
7.73,86.583,598.583,-4.458,4.458,0.00094,0.004,0.253,-0.418,0.488,148.85444,0.002,0.004,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.109,943.6,0.00116,338.031,0.013,172700,4.6,20,0.228,0.486,0
7.958,85.569,597.569,-4.457,4.457,0.00095,0.002,0.253,-0.418,0.489,148.85444,0.00097,0.002,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.116,943.7,0.00116,338.035,0.013,172700,4.6,20,0.228,0.487,0
8.186,84.555,596.555,-4.457,4.457,0.00095,0.001,0.253,-0.418,0.489,148.85444,0.00048,0.001,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.122,943.8,0.00116,338.039,0.013,172700,4.6,20,0.228,0.488,0
8.413,83.541,595.541,-4.457,4.457,0.00095,0.001,0.253,-0.418,0.489,148.85444,0.00024,0.00053,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.129,943.9,0.00116,338.043,0.013,172800,4.6,20,0.227,0.489,0
8.641,82.527,594.527,-4.457,4.457,0.00095,0.00098,0.253,-0.418,0.489,148.85444,0.00012,0.00027,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.136,944,0.00116,338.047,0.013,172800,4.6,20,0.227,0.489,0
8.868,81.513,593.513,-4.456,4.456,0.00095,0.00095,0.253,-0.418,0.489,148.85444,0.00006,0.00013,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.142,944.2,0.00116,338.051,0.013,172800,4.6,20,0.227,0.489,0
9.096,80.5,592.5,-4.456,4.456,0.00094,0.00095,0.253,-0.418,0.489,148.85444,0.00003,0.00007,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.149,944.3,0.00116,338.055,0.013,172800,4.6,20,0.227,0.489,0
9.323,79.486,591.486,-4.456,4.456,0.00094,0.00095,0.253,-0.419,0.489,148.85444,0.00002,0.00003,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.155,944.4,0.00116,338.059,0.013,172800,4.6,20,0.227,0.49,0
9.55,78.472,590.472,-4.456,4.456,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0.00001,0.00002,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.162,944.5,0.00116,338.063,0.013,172800,4.6,20,0.227,0.49,0
9.778,77.459,589.459,-4.456,4.456,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0.00001,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.169,944.6,0.00116,338.067,0.013,172800,4.6,20,0.227,0.49,0
10.005,76.446,588.446,-4.455,4.455,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.175,944.7,0.00116,338.071,0.013,172800,4.6,20,0.227,0.49,0
10.233,75.432,587.432,-4.455,4.455,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.182,944.8,0.00116,338.075,0.013,172800,4.6,20,0.227,0.49,0
10.46,74.419,586.419,-4.455,4.455,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.188,945,0.00116,338.079,0.013,172800,4.6,20,0.227,0.49,0
10.688,73.406,585.406,-4.455,4.455,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.195,945.1,0.00116,338.083,0.013,172800,4.6,20,0.227,0.491,0
10.915,72.393,584.393,-4.455,4.455,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.201,945.2,0.00116,338.087,0.013,172800,4.6,20,0.227,0.491,0
11.142,71.381,583.381,-4.454,4.454,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.208,945.3,0.00116,338.091,0.013,172800,4.6,20,0.227,0.491,0
11.37,70.368,582.368,-4.454,4.454,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.215,945.4,0.00116,338.095,0.013,172800,4.6,20,0.227,0.492,0
11.597,69.355,581.355,-4.454,4.454,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.221,945.5,0.00116,338.099,0.013,172800,4.6,20,0.227,0.492,0
11.824,68.343,580.343,-4.454,4.454,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.228,945.6,0.00116,338.103,0.013,172800,4.6,20,0.227,0.492,0
12.052,67.33,579.33,-4.453,4.453,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.234,945.7,0.00116,338.107,0.013,172800,4.6,20,0.227,0.493,0
12.279,66.318,578.318,-4.453,4.453,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.241,945.9,0.00116,338.111,0.013,172800,4.6,20,0.227,0.493,0
12.506,65.306,577.306,-4.453,4.453,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.248,946,0.00116,338.115,0.013,172800,4.6,20,0.227,0.493,0
12.734,64.293,576.293,-4.453,4.453,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.254,946.1,0.00116,338.119,0.013,172900,4.6,20,0.227,0.493,0
12.961,63.281,575.281,-4.453,4.453,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.261,946.2,0.00116,338.123,0.013,172900,4.6,20,0.227,0.493,0
13.188,62.269,574.269,-4.452,4.452,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.267,946.3,0.00116,338.127,0.013,172900,4.6,20,0.227,0.494,0
13.415,61.258,573.258,-4.452,4.452,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.274,946.4,0.00116,338.131,0.013,172900,4.6,20,0.227,0.494,0
13.643,60.246,572.246,-4.452,4.452,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.28,946.5,0.00116,338.135,0.013,172900,4.6,20,0.227,0.495,0
13.87,59.234,571.234,-4.452,4.452,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.287,946.6,0.00116,338.139,0.013,172900,4.6,20,0.227,0.495,0
14.097,58.223,570.223,-4.452,4.452,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.294,946.8,0.00116,338.143,0.013,172900,4.6,20,0.227,0.495,0
14.324,57.211,569.211,-4.451,4.451,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.3,946.9,0.00116,338.147,0.013,172900,4.6,20,0.227,0.495,0
14.552,56.2,568.2,-4.451,4.451,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.307,947,0.00116,338.151,0.013,172900,4.6,20,0.227,0.495,0
14.779,55.188,567.188,-4.451,4.451,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.313,947.1,0.00116,338.155,0.013,172900,4.6,20,0.227,0.496,0
15.006,54.177,566.177,-4.451,4.451,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.32,947.2,0.00116,338.159,0.013,172900,4.6,20,0.227,0.496,0
15.233,53.166,565.166,-4.45,4.45,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.326,947.3,0.00116,338.163,0.013,172900,4.6,20,0.227,0.496,0
15.46,52.155,564.155,-4.45,4.45,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.333,947.4,0.00116,338.167,0.013,172900,4.6,20,0.227,0.496,0
15.687,51.144,563.144,-4.45,4.45,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.34,947.6,0.00116,338.171,0.013,172900,4.6,20,0.227,0.496,0
15.915,50.134,562.134,-4.45,4.45,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.346,947.7,0.00116,338.175,0.013,172900,4.6,20,0.227,0.496,0
16.142,49.123,561.123,-4.45,4.45,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.353,947.8,0.00116,338.179,0.013,172900,4.6,20,0.227,0.497,0
16.369,48.112,560.112,-4.449,4.449,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.359,947.9,0.00116,338.183,0.013,172900,4.6,20,0.227,0.497,0
16.596,47.102,559.102,-4.449,4.449,0.00094,0.00094,0.253,-0.419,0.489,148.85444,0,0,33.98,117.38,NaN,NaN,NaN,NaN,33.74721,328.76318,154,23,0.004,0.00008,9.795,0,34.3,-7.519,0,0,1.509,80.357,0,80.357,0,80.357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.366,948,0.00116,338.187,0.013,172900,4.6,20,0.227,0.497,0
