time_s,phase,altitude_m,vertical_velocity_m_s,vertical_acceleration_m_s2
2.1162500000000004,coast,66.25161936419087,27.572358754058055,-11.970643907509555
2.1662500000000002,coast,67.61531387145986,26.976201231260248,-11.877068068052495
2.21625,coast,68.94931628886518,26.384651947252813,-11.786278194837053
2.26625,coast,70.2538535763356,25.797573411776547,-11.69820344689819
2.3162499999999997,coast,71.52914590659041,25.214831602562995,-11.612775882107968
2.3662499999999995,coast,72.77540683496903,24.636295823565753,-11.529930333679602
2.4162499999999993,coast,73.99284346232358,24.06183856919504,-11.449604293329315
2.466249999999999,coast,75.18165659126664,23.491335394232824,-11.37173780070546
2.516249999999999,coast,76.34204087605032,22.9246647891245,-11.29627333871997
2.566249999999999,coast,77.4741849663383,22.361708060360833,-11.223155734443452
2.6162499999999986,coast,78.57827164511865,21.802349215680156,-11.152332065246242
2.6662499999999985,coast,79.65447796099188,21.24647485383621,-11.083751569889216
2.7162499999999983,coast,80.70297535505652,20.69397405869124,-11.017365564288866
2.766249999999998,coast,81.72392978260265,20.14473829740733,-10.953127361697796
2.816249999999998,coast,82.71750182981307,19.598661322521465,-10.890992197059347
2.8662499999999977,coast,83.68384682566098,19.055639077701397,-10.830917155311056
2.9162499999999976,coast,84.6231149491835,18.51556960699036,-10.772861103425384
2.9662499999999974,coast,85.53545133230082,17.978352967358862,-10.716784625990869
3.016249999999997,coast,86.42099615834202,17.44389114439128,-10.662649964148727
3.066249999999997,coast,87.27988475643016,16.912087970943993,-10.610420957711767
3.116249999999997,coast,88.1122476918713,16.382849048620105,-10.56006299030389
3.1662499999999967,coast,88.91821085268467,15.856081671913609,-10.511542937368574
3.2162499999999965,coast,89.6978955324037,15.331694754883253,-10.464829116904355
3.2662499999999963,coast,90.45141850927146,14.809598760223178,-10.41989124279425
3.316249999999996,coast,91.17889212194659,14.28970563060383,-10.37670038060466
3.366249999999996,coast,91.88042434183075,13.771928722162714,-10.335228905736784
3.416249999999996,coast,92.55611884212188,13.256182740030155,-10.29545046382178
3.4662499999999956,coast,93.20607506369227,12.742383675780541,-10.257752499962663
3.5162499999999954,coast,93.83038767069196,12.230407490033894,-10.222911945240156
3.5662499999999953,coast,94.42914340729305,11.720092481256529,-10.190394358689986
3.616249999999995,coast,95.0024234282105,11.211368054164899,-10.159228762534454
3.666249999999995,coast,95.55030564540431,10.704169605003086,-10.129350604004898
3.7162499999999947,coast,96.07286475243723,10.198432993764413,-10.10075108579349
3.7662499999999945,coast,96.57017224647267,9.694094496423741,-10.073422378781018
3.8162499999999944,coast,97.04229644785359,9.191090755886314,-10.047357651252426
3.866249999999994,coast,97.48930251718943,8.689358731298503,-10.022551105930845
3.916249999999994,coast,97.91125246985888,8.188835645293233,-9.99899802650458
3.966249999999994,coast,98.30820518781275,7.6894589286480475,-9.976694835853621
4.016249999999994,coast,98.68021642853176,7.191166161707869,-9.955639168929139
4.066249999999994,coast,99.02733883095813,6.693895011755133,-9.935829964300588
4.116249999999994,coast,99.34962191817289,6.197583165277814,-9.917267579936862
4.166249999999994,coast,99.64711209653147,5.70216825376145,-9.899953941105451
4.216249999999993,coast,99.91985265088987,5.2075877711672725,-9.88389273184226
4.266249999999993,coast,100.16788373544614,4.713778980577228,-9.869089647126266
4.316249999999993,coast,100.39124235957232,4.220678806454649,-9.855552732295344
4.366249999999993,coast,100.58996236779649,3.7282237073476976,-9.843292852547386
4.416249999999993,coast,100.76407441277571,3.236349521199914,-9.832324365306928
4.4662499999999925,coast,100.91360591960424,2.744991270817008,-9.822666127226093
4.516249999999992,coast,101.03858103898845,2.2540829084773084,-9.814343094978007
4.566249999999992,coast,101.13902058539047,1.7635569613192108,-9.807389090569446
